violation_code,violation_status,grade,program_element_pe,service_code,risk_level,month,weekday
28,0.0,0.0,1635,1.0,2.0,3,4
25,0.0,0.0,1635,1.0,2.0,3,4
33,0.0,0.0,1635,1.0,2.0,3,4
31,0.0,0.0,1635,1.0,2.0,3,4
27,0.0,0.0,1635,1.0,2.0,3,4
42,0.0,0.0,1635,1.0,2.0,3,4
5,0.0,0.0,1635,1.0,2.0,3,4
42,0.0,0.0,1612,1.0,2.0,3,4
37,0.0,0.0,1612,1.0,2.0,3,4
35,0.0,0.0,1612,1.0,2.0,3,4
42,0.0,0.0,1634,1.0,0.0,3,4
31,0.0,0.0,1634,1.0,0.0,3,4
30,0.0,0.0,1634,1.0,0.0,3,4
32,0.0,0.0,1634,1.0,0.0,3,4
13,0.0,0.0,1634,1.0,0.0,3,4
27,0.0,0.0,1631,1.0,0.0,3,4
41,0.0,0.0,1631,1.0,0.0,3,4
28,0.0,0.0,1631,1.0,0.0,3,4
35,0.0,0.0,1631,1.0,0.0,3,4
33,0.0,0.0,1631,1.0,0.0,3,4
40,0.0,0.0,1631,1.0,0.0,3,4
42,0.0,0.0,1631,1.0,0.0,3,4
13,0.0,0.0,1631,1.0,0.0,3,4
28,0.0,0.0,1631,1.0,0.0,3,4
37,0.0,0.0,1631,1.0,0.0,3,4
31,0.0,0.0,1631,1.0,0.0,3,4
33,0.0,0.0,1631,1.0,0.0,3,4
8,0.0,0.0,1631,1.0,0.0,3,4
6,0.0,0.0,1632,1.0,2.0,3,4
34,0.0,0.0,1632,1.0,2.0,3,4
31,0.0,0.0,1632,1.0,2.0,3,4
27,0.0,0.0,1632,1.0,2.0,3,4
42,0.0,0.0,1632,1.0,2.0,3,4
36,0.0,0.0,1610,1.0,1.0,3,4
46,0.0,0.0,1638,1.0,2.0,3,4
28,0.0,0.0,1638,1.0,2.0,3,4
25,0.0,0.0,1638,1.0,2.0,3,4
28,0.0,0.0,1613,1.0,1.0,3,4
28,0.0,0.0,1613,1.0,1.0,3,4
41,0.0,0.0,1613,1.0,1.0,3,4
35,0.0,0.0,1613,1.0,1.0,3,4
38,0.0,0.0,1632,1.0,2.0,3,4
37,0.0,0.0,1632,1.0,2.0,3,4
31,0.0,0.0,1632,1.0,2.0,3,4
6,0.0,0.0,1635,1.0,2.0,3,4
35,0.0,0.0,1635,1.0,2.0,3,4
42,0.0,0.0,1635,1.0,2.0,3,4
38,0.0,0.0,1635,1.0,2.0,3,4
47,0.0,0.0,1635,1.0,2.0,3,4
13,0.0,0.0,1635,1.0,2.0,3,4
33,0.0,0.0,1635,1.0,2.0,3,4
42,0.0,0.0,1632,1.0,2.0,3,4
27,0.0,0.0,1632,1.0,2.0,3,4
31,0.0,0.0,1632,1.0,2.0,3,4
41,0.0,0.0,1632,1.0,2.0,3,4
35,0.0,0.0,1632,1.0,2.0,3,4
44,0.0,0.0,1632,1.0,2.0,3,4
42,0.0,0.0,1637,1.0,0.0,3,4
38,0.0,0.0,1637,1.0,0.0,3,4
28,0.0,0.0,1634,1.0,0.0,3,4
33,0.0,0.0,1634,1.0,0.0,3,4
31,0.0,0.0,1634,1.0,0.0,3,4
13,0.0,0.0,1634,1.0,0.0,3,4
34,0.0,0.0,1634,1.0,0.0,3,4
42,0.0,0.0,1634,1.0,0.0,3,4
42,0.0,0.0,1630,1.0,1.0,3,4
28,0.0,0.0,1630,1.0,1.0,3,4
41,0.0,0.0,1630,1.0,1.0,3,4
51,0.0,0.0,1638,1.0,2.0,3,3
44,0.0,0.0,1630,1.0,1.0,3,4
21,0.0,0.0,1633,1.0,1.0,3,4
38,0.0,0.0,1633,1.0,1.0,3,4
28,0.0,0.0,1631,1.0,0.0,3,4
31,0.0,0.0,1631,1.0,0.0,3,4
36,0.0,0.0,1631,1.0,0.0,3,4
37,0.0,0.0,1632,1.0,2.0,3,4
31,0.0,0.0,1632,1.0,2.0,3,4
6,0.0,0.0,1632,1.0,2.0,3,4
42,0.0,0.0,1631,1.0,0.0,3,4
13,0.0,0.0,1631,1.0,0.0,3,4
6,0.0,0.0,1631,1.0,0.0,3,4
41,0.0,0.0,1631,1.0,0.0,3,4
37,0.0,0.0,1631,1.0,0.0,3,4
27,0.0,0.0,1631,1.0,0.0,3,4
31,0.0,0.0,1615,1.0,2.0,3,4
42,0.0,0.0,1615,1.0,2.0,3,4
33,0.0,0.0,1615,1.0,2.0,3,4
34,0.0,0.0,1615,1.0,2.0,3,4
35,0.0,0.0,1615,1.0,2.0,3,4
32,0.0,0.0,1615,1.0,2.0,3,4
13,0.0,0.0,1615,1.0,2.0,3,4
38,0.0,0.0,1631,1.0,0.0,3,4
41,0.0,0.0,1631,1.0,0.0,3,4
28,0.0,0.0,1631,1.0,0.0,3,4
37,0.0,0.0,1631,1.0,0.0,3,4
46,0.0,0.0,1631,1.0,0.0,3,4
42,0.0,0.0,1631,1.0,0.0,3,4
53,0.0,0.0,1635,1.0,2.0,3,4
5,0.0,0.0,1635,1.0,2.0,3,4
6,0.0,0.0,1635,1.0,2.0,3,4
47,0.0,0.0,1635,1.0,2.0,3,4
33,0.0,0.0,1635,1.0,2.0,3,4
35,0.0,0.0,1632,1.0,2.0,3,4
42,0.0,0.0,1632,1.0,2.0,3,4
31,0.0,0.0,1632,1.0,2.0,3,4
41,0.0,0.0,1632,1.0,2.0,3,4
8,0.0,0.0,1631,1.0,0.0,3,4
42,0.0,0.0,1631,1.0,0.0,3,4
5,0.0,0.0,1631,1.0,0.0,3,4
33,0.0,0.0,1631,1.0,0.0,3,4
6,0.0,0.0,1631,1.0,0.0,3,4
5,0.0,0.0,1630,1.0,1.0,3,4
12,0.0,0.0,1632,1.0,2.0,3,4
31,0.0,0.0,1632,1.0,2.0,3,4
44,0.0,0.0,1632,1.0,2.0,3,4
5,0.0,0.0,1632,1.0,2.0,3,4
35,0.0,0.0,1632,1.0,2.0,3,4
6,0.0,0.0,1632,1.0,2.0,3,4
33,0.0,0.0,1632,1.0,2.0,3,4
37,0.0,0.0,1631,1.0,0.0,3,4
42,0.0,0.0,1631,1.0,0.0,3,4
31,0.0,0.0,1631,1.0,0.0,3,4
23,0.0,0.0,1631,1.0,0.0,3,4
28,0.0,0.0,1631,1.0,0.0,3,4
38,0.0,0.0,1631,1.0,0.0,3,4
27,0.0,0.0,1635,1.0,2.0,3,4
23,0.0,0.0,1635,1.0,2.0,3,4
